fecha_extraccion;comuna;tipo_propiedad;titulo;precio;moneda;dormitorios;banos;metros_utiles;caracteristicas_raw;ubicacion;url
2025-11-29 17:37:30;La Reina;casa;Vende Sin Comision Vicente Bourquet;7250;CLF;3 dormitorios;3 baños;82 m² útiles;3 dormitorios | 3 baños | 82 m² útiles;Detective Vicente Bourquet 541, La Reina, Pepe Vila, La Reina;
2025-11-29 17:37:30;La Reina;casa;Venta Amplia Y Luminosa Casa En Príncipe De Gales La Reina;12300;CLF;3 dormitorios;3 baños;149 m² útiles;3 dormitorios | 3 baños | 149 m² útiles;Av. Príncipe De Gales 8210, La Reina, Carlos Ossandón, La Reina;
2025-11-29 17:37:30;La Reina;casa;En Condominio, Con Renovada Cocina Integrada;14000;CLF;4 dormitorios;3 baños;150 m² útiles;4 dormitorios | 3 baños | 150 m² útiles;La Reina;
2025-11-29 17:37:30;La Reina;casa;Casa En El Mejor Sector De La Reina;17500;CLF;5 dormitorios;3 baños;192 m² útiles;5 dormitorios | 3 baños | 192 m² útiles;Julia Bernstein, La Reina Alta, La Reina;
2025-11-29 17:37:30;La Reina;casa;Casa Mediterránea, Excelente Ubicación;16300;CLF;4 dormitorios;3 baños;140 m² útiles;4 dormitorios | 3 baños | 140 m² útiles;Carlos Ossandón, La Reina;
2025-11-29 17:37:30;La Reina;casa;Acogedora Y Cálida Casa En Condominio;12000;CLF;4 dormitorios;3 baños;139 m² útiles;4 dormitorios | 3 baños | 139 m² útiles;ALCALDE FERNANDO CASTILLO VELASCO, Carlos Ossandón, La Reina;
2025-11-29 17:37:30;La Reina;casa;Propiedad Con Quincho De Ensueño;23900;CLF;4 dormitorios;5 baños;260 m² útiles;4 dormitorios | 5 baños | 260 m² útiles;La Reina Alta, La Reina;
2025-11-29 17:37:30;La Reina;casa;Diseñada Por Fdo. Castillo Velasco;17800;CLF;3 dormitorios;4 baños;220 m² útiles;3 dormitorios | 4 baños | 220 m² útiles;María Monvel, La Reina Alta, La Reina;
2025-11-29 17:37:30;La Reina;casa;Linda, Cálida Y Segura En Condominio Exclusivo;16800;CLF;4 dormitorios;4 baños;200 m² útiles;4 dormitorios | 4 baños | 200 m² útiles;La Reina Alta, La Reina;
2025-11-29 17:37:30;La Reina;casa;Casa Cercana Al Country Club, La Reina;15677;CLF;5 dormitorios;3 baños;200 m² útiles;5 dormitorios | 3 baños | 200 m² útiles;Goethe, Metro Príncipe De Gales - Country Club, La Reina;
